model,slice,acc,mse,time
LR,1M,0.72,0.275,1.88
RF,1M,0.79,0.210,5.90
SVM,1M,0.73,0.267,2.92
MLP,1M,0.78,0.225,62.90
LR,2M,0.72,0.283,1.48
RF,2M,0.76,0.238,3.63
SVM,2M,0.73,0.268,2.81
MLP,2M,0.75,0.252,57.92
LR,3M,0.74,0.256,1.74
RF,3M,0.76,0.241,4.14
SVM,3M,0.77,0.235,2.84
MLP,3M,0.77,0.233,59.44
LR,4M,0.73,0.270,1.42
RF,4M,0.73,0.275,3.63
SVM,4M,0.70,0.304,2.50
MLP,4M,0.75,0.253,57.32
LR,5M,0.73,0.273,1.42
RF,5M,0.76,0.243,3.42
SVM,5M,0.75,0.253,2.68
MLP,5M,0.76,0.238,63.74
LR,6M,0.71,0.291,1.34
RF,6M,0.74,0.258,3.53
SVM,6M,0.72,0.283,2.65
MLP,6M,0.74,0.258,53.59
